Category,Sub-category,Code,Representative Quote,Participant(s)
1. Interaction & Gesture,1.1 Gesture Intuitiveness,Pinch gesture feels natural,"""once you tell me how to interact... it all falls in place kind of naturally""",P01
1. Interaction & Gesture,1.1 Gesture Intuitiveness,Gesture registers well,"""gestures register really well""",P01
1. Interaction & Gesture,1.1 Gesture Intuitiveness,Gesture controls intuitive and simple,"""I really liked the gesture controls... very simple and intuitive""",P04
1. Interaction & Gesture,1.1 Gesture Intuitiveness,Screenshot gesture recognized from Mac,"""I like the connection... very similar to like on the Mac""",G2a
1. Interaction & Gesture,1.1 Gesture Intuitiveness,Pinch motion intuitive,"""I feel like this motion is very intuitive""",G2a
1. Interaction & Gesture,1.1 Gesture Intuitiveness,Pinch-and-zoom as familiar,"""how you pinch and zoom, how you pinch a button""",P01
1. Interaction & Gesture,1.2 Gesture Difficulties,Photo capture inconsistency,"""sometimes it didn't register as consistently as I hoped for""",P01
1. Interaction & Gesture,1.2 Gesture Difficulties,Photo capture buggy,"""I was trying to take some pictures... maybe a little bit buggy""",P02
1. Interaction & Gesture,1.2 Gesture Difficulties,Capture requires repeated attempts,"""it is kind of difficult to use... I have to repeat it for several times""",P11
1. Interaction & Gesture,1.2 Gesture Difficulties,Lack of capture feedback,"""I wasn't sure if it was working or doing anything... I would do the motion and then wait a few seconds""",P06
1. Interaction & Gesture,1.2 Gesture Difficulties,Need feedback after photo,"""maybe add some trying to feedback after you take the picture""",P06
1. Interaction & Gesture,1.2 Gesture Difficulties,Third-hand interference from staff,"""when your hand appears, it will be directly positioned on the third hand""",P14
1. Interaction & Gesture,1.2 Gesture Difficulties,Two-handed gesture awkward with card,"""it's really awkward to be holding something and also trying to do two-handed gestures""",P03
1. Interaction & Gesture,1.2 Gesture Difficulties,3D model renders behind photo,"""the 3D model that's supposed to form formed actually behind the picture""",P10
1. Interaction & Gesture,1.2 Gesture Difficulties,Item pop up behind photo,"""the item pop up behind the photo""",P16
1. Interaction & Gesture,1.3 Object Placement,Couldn't place object on card,"""I grabbed and then I couldn't place it on the card""",P13
1. Interaction & Gesture,1.3 Object Placement,Throwing away image feels complex,"""after that I need to throw away the image... this process is kind of complicated""",P11
2. Navigation & Wayfinding,2.1 Light Beam Navigation,Light beam not visible/unreliable,"""I saw it like once but for a second""",G2a
2. Navigation & Wayfinding,2.1 Light Beam Navigation,Yellow lines didn't appear,"""the yellow lines also did not appear for me until I was actually looking right where they were supposed to be""",P13
2. Navigation & Wayfinding,2.1 Light Beam Navigation,Direction finding not accurate,"""nowadays it's just a light in front of you... that's not very accurate""",P05
2. Navigation & Wayfinding,2.1 Light Beam Navigation,Light column thrown off,"""the light columns could be... it's all like thrown off a little bit""",P08
2. Navigation & Wayfinding,2.2 Alternative Navigation Ideas,Warmer/cooler system,"""almost like a warmer, cooler type of situation... green you're in the right direction, red you're going the wrong direction""",G2a
2. Navigation & Wayfinding,2.2 Alternative Navigation Ideas,Digital landmark for orientation,"""cool maybe having like a digital landmark so you could orient yourself on the map""",G2a
